basemesh,gender,race,dst_type,dst_filename,dst_filepath,ref_filepath,METRO,DAME,FMPD,MSDM,MSDM2,RMS
BFA01,Female,Asian,Noise_f2.00,BFA01-Noise_f2.00_a00.1233.obj,stimuli\BFA01\BFA01-Noise_f2.00_a00.1233.obj,stimuli\BFA01\BFA01-ref.obj,0.000138,0.022984917,0.103663665,0.152414,0.411475,0.010613000000000001
BFA01,Female,Asian,Noise_f2.00,BFA01-Noise_f2.00_a00.1727.obj,stimuli\BFA01\BFA01-Noise_f2.00_a00.1727.obj,stimuli\BFA01\BFA01-ref.obj,0.000194,0.032197284,0.147936775,0.177928,0.490051,0.014833
BFA01,Female,Asian,Noise_f2.00,BFA01-Noise_f2.00_a00.2220.obj,stimuli\BFA01\BFA01-Noise_f2.00_a00.2220.obj,stimuli\BFA01\BFA01-ref.obj,0.000249,0.041427746,0.190360261,0.202364,0.547636,0.019038
BFA01,Female,Asian,Simp,BFA01-ref.obj,stimuli\BFA01\BFA01-ref.obj,stimuli\BFA01\BFA01-ref.obj,0,-1,0,-1,0,0.0
BFA01,Female,Asian,Simp,BFA01-Simp_p25.00.obj,stimuli\BFA01\BFA01-Simp_p25.00.obj,stimuli\BFA01\BFA01-ref.obj,0.000468,-1,0.04938171,-1,0.269803,0.007258499999999999
BFA01,Female,Asian,Simp,BFA01-Simp_p12.50.obj,stimuli\BFA01\BFA01-Simp_p12.50.obj,stimuli\BFA01\BFA01-ref.obj,0.000575,-1,0.131377481,-1,0.385022,0.017175
BFA01,Female,Asian,Simp,BFA01-Simp_p06.25.obj,stimuli\BFA01\BFA01-Simp_p06.25.obj,stimuli\BFA01\BFA01-ref.obj,0.001051,-1,0.269494226,-1,0.461291,0.036224
BFA01,Female,Asian,Simp,BFA01-Simp_p03.12.obj,stimuli\BFA01\BFA01-Simp_p03.12.obj,stimuli\BFA01\BFA01-ref.obj,0.001455,-1,0.464473216,-1,0.517531,0.072165
BFA01,Female,Asian,Smooth,BFA01-ref.obj,stimuli\BFA01\BFA01-ref.obj,stimuli\BFA01\BFA01-ref.obj,0,0,0,0,0,0.0
BFA01,Female,Asian,Smooth,BFA01-Smooth_i02.obj,stimuli\BFA01\BFA01-Smooth_i02.obj,stimuli\BFA01\BFA01-ref.obj,0.001801,0.002689074,0.004138267,0.107814,0.0642316,0.11306949999999999
BFA01,Female,Asian,Smooth,BFA01-Smooth_i06.obj,stimuli\BFA01\BFA01-Smooth_i06.obj,stimuli\BFA01\BFA01-ref.obj,0.004316,0.005276352,0.004917584,0.137291,0.112982,0.3306335
BFA01,Female,Asian,Smooth,BFA01-Smooth_i12.obj,stimuli\BFA01\BFA01-Smooth_i12.obj,stimuli\BFA01\BFA01-ref.obj,0.007573,0.007760515,0.005340597,0.161526,0.157971,0.6407769999999999
BFA01,Female,Asian,Smooth,BFA01-Smooth_i20.obj,stimuli\BFA01\BFA01-Smooth_i20.obj,stimuli\BFA01\BFA01-ref.obj,0.011359,0.009928079,0.005571505,0.189836,0.200503,1.031625
BFA02,Female,Asian,Noise_f0.01,BFA02-ref.obj,stimuli\BFA02\BFA02-ref.obj,stimuli\BFA02\BFA02-ref.obj,0,0,0,0,0,0.0
BFA02,Female,Asian,Noise_f0.01,BFA02-Noise_f0.01_a05.0000.obj,stimuli\BFA02\BFA02-Noise_f0.01_a05.0000.obj,stimuli\BFA02\BFA02-ref.obj,0.003781,0.005432681,0.000804982,0.131432,0.208652,0.5422375
