Condition,Dst_type,Metric,Pearson,Kendall,Spearman
close_flipped,noSimp,DAME,-0.587005071653571,-0.487179008389395,-0.674135923025759
close_flipped,noSimp,MSDM,-0.489808774531914,-0.375275427345867,-0.527555462155456
close_flipped,noSimp,MSDM2,-0.576490836464787,-0.448226057855717,-0.627296878868383
close_flipped,noSimp,RMS,-0.124118070037821,-0.239043145892813,-0.322754041338575
close_flipped,allTypes,METRO,-0.0781055366732465,-0.219315468405945,-0.304770917416914
close_flipped,allTypes,FMPD,-0.38089274989484,-0.381601858303474,-0.539712943458784
close_flipped,allTypes,DAME,NaN,NaN,NaN
close_flipped,allTypes,MSDM,NaN,NaN,NaN
close_flipped,allTypes,MSDM2,-0.542129755179896,-0.410291332275976,-0.577151722795257
close_flipped,allTypes,RMS,-0.129285425633108,-0.266829724814686,-0.370640986017667
close_normal,Noise_f0.01,METRO,-0.776399697107737,-0.611484288383998,-0.803916973255677
close_normal,Noise_f0.01,FMPD,-0.761454349093157,-0.598497495826377,-0.790420388452866
close_normal,Noise_f0.01,DAME,-0.764136409087037,-0.600333889816361,-0.79296855796309
close_normal,Noise_f0.01,MSDM,-0.755311981575897,-0.608091018749114,-0.805114116620879
close_normal,Noise_f0.01,MSDM2,-0.717121977364534,-0.607045075125209,-0.802576814763919
close_normal,Noise_f0.01,RMS,-0.776280806781936,-0.609048414023372,-0.805127597185797
close_normal,Noise_f0.06,METRO,-0.800715866986532,-0.650651968564824,-0.845926787811335
close_normal,Noise_f0.06,FMPD,-0.819857240010708,-0.635709515859766,-0.833445172403782
close_normal,Noise_f0.06,DAME,-0.791249281012859,-0.641302170283806,-0.840227032990429
close_normal,Noise_f0.06,MSDM,-0.718272161446911,-0.648307985198612,-0.845357905544013
close_normal,Noise_f0.06,MSDM2,-0.772221594514472,-0.647974323771603,-0.844615438548563
close_normal,Noise_f0.06,RMS,-0.800331476366922,-0.645820725467751,-0.84134233113677
close_normal,Noise_f0.34,METRO,-0.764142269315621,-0.61749178771065,-0.810337094854575
close_normal,Noise_f0.34,FMPD,-0.785184240156494,-0.617746243739566,-0.810562840525292
close_normal,Noise_f0.34,DAME,-0.755836767832264,-0.598797996661102,-0.793640753679851
close_normal,Noise_f0.34,MSDM,-0.686025021478898,-0.611229596122169,-0.802167236075776
close_normal,Noise_f0.34,MSDM2,-0.730952034835352,-0.608207880672579,-0.803515111424112
close_normal,Noise_f0.34,RMS,-0.76863742672886,-0.631013459425544,-0.819700189431689
close_normal,Noise_f2.00,METRO,-0.689859918297391,-0.541863800870658,-0.726380814152199
close_normal,Noise_f2.00,FMPD,-0.688399363735218,-0.531035058430718,-0.711652715008758
close_normal,Noise_f2.00,DAME,-0.668910676144098,-0.505809682804674,-0.692661105358404
close_normal,Noise_f2.00,MSDM,-0.569397701140554,-0.524720986499749,-0.707680708149491
close_normal,Noise_f2.00,MSDM2,-0.606674899376921,-0.530705598562717,-0.711343651657441
close_normal,Noise_f2.00,RMS,-0.676530122297652,-0.521902535477674,-0.70357244488147
close_normal,Simp,METRO,-0.763590287161905,-0.570881103115193,-0.766098068654443
close_normal,Simp,FMPD,-0.776629035310254,-0.552704507512521,-0.748529221062003
close_normal,Simp,DAME,NaN,NaN,NaN
close_normal,Simp,MSDM,NaN,NaN,NaN
close_normal,Simp,MSDM2,-0.618167933951766,-0.578514190317195,-0.774025142016587
close_normal,Simp,RMS,-0.77909885102095,-0.558285127608161,-0.757084027226735
close_normal,Smooth,METRO,-0.320836138173118,-0.206702515504056,-0.303110133300515
close_normal,Smooth,FMPD,-0.211608304775831,-0.197679465776294,-0.28994116110052
close_normal,Smooth,DAME,-0.312066470125537,-0.220150250417362,-0.328706415181984
close_normal,Smooth,MSDM,-0.261809310029475,-0.226303114789595,-0.338927601514705
close_normal,Smooth,MSDM2,-0.308128298838431,-0.225260644921411,-0.334722370139374
close_normal,Smooth,RMS,-0.343095427756914,-0.229818278958582,-0.339983177686856
close_normal,noSimp,METRO,-0.13482398143466,-0.271908235651346,-0.370995097907249
close_normal,noSimp,FMPD,-0.376171440334212,-0.378842210212877,-0.543745499104241
close_normal,noSimp,DAME,-0.511028601633244,-0.448703730258347,-0.631526103415727
close_normal,noSimp,MSDM,-0.512300964808736,-0.379597316152454,-0.535094683407862
close_normal,noSimp,MSDM2,-0.530297467460941,-0.421163949888726,-0.595875865807592
close_normal,noSimp,RMS,-0.215908627094193,-0.280112540866993,-0.377239859773048
close_normal,allTypes,METRO,-0.145531313957417,-0.258484140765711,-0.357993827242635
close_normal,allTypes,FMPD,-0.364225886088151,-0.357202993063321,-0.512387925426484
close_normal,allTypes,DAME,NaN,NaN,NaN
close_normal,allTypes,MSDM,NaN,NaN,NaN
close_normal,allTypes,MSDM2,-0.520019539194261,-0.399656477379503,-0.567725174994102
close_normal,allTypes,RMS,-0.203923400692272,-0.303655756460458,-0.415184637741002
far_flipped,Noise_f0.01,METRO,-0.73433722241578,-0.573595790443193,-0.76084035137119
far_flipped,Noise_f0.01,FMPD,-0.721341683236077,-0.567445742904841,-0.761988522543621
far_flipped,Noise_f0.01,DAME,-0.745622811941586,-0.587913188647746,-0.778949125642341
far_flipped,Noise_f0.01,MSDM,-0.709043054453729,-0.552397964937887,-0.74419296701424
far_flipped,Noise_f0.01,MSDM2,-0.674150906115429,-0.551252086811352,-0.741175326372021
far_flipped,Noise_f0.01,RMS,-0.729164330726433,-0.545275459098498,-0.733137816573602
far_flipped,Noise_f0.06,METRO,-0.763138095452278,-0.60163637082502,-0.789708645803253
far_flipped,Noise_f0.06,FMPD,-0.787590712257776,-0.603989983305509,-0.793517269410546
far_flipped,Noise_f0.06,DAME,-0.763201845023086,-0.608046744574291,-0.800658356962442
far_flipped,Noise_f0.06,MSDM,-0.689327141504111,-0.607305631230395,-0.796631888809183
far_flipped,Noise_f0.06,MSDM2,-0.74079666325457,-0.613099386897606,-0.801842460826708
far_flipped,Noise_f0.06,RMS,-0.765506362839951,-0.591964073310971,-0.781744185829894
far_flipped,Noise_f0.34,METRO,-0.517187699093485,-0.382190633518009,-0.5288672319281
far_flipped,Noise_f0.34,FMPD,-0.529303036792565,-0.376544240400668,-0.523911335197855
far_flipped,Noise_f0.34,DAME,-0.51123665279568,-0.37118530884808,-0.519396901280327
far_flipped,Noise_f0.34,MSDM,-0.465933364884675,-0.380610937444623,-0.530198303789649
far_flipped,Noise_f0.34,MSDM2,-0.49093567640133,-0.370243615377245,-0.509928012104749
far_flipped,Noise_f0.34,RMS,-0.519707719070762,-0.379209160117569,-0.52690500408334
far_flipped,Noise_f2.00,METRO,-0.35237013521651,-0.26510252604733,-0.389227184762132
far_flipped,Noise_f2.00,FMPD,-0.352694762567803,-0.25881469115192,-0.38131816554247
far_flipped,Noise_f2.00,DAME,-0.337545297272073,-0.23118530884808,-0.337921186842538
far_flipped,Noise_f2.00,MSDM,-0.295831311656402,-0.258153376208896,-0.375344958824139
far_flipped,Noise_f2.00,MSDM2,-0.312490992587866,-0.262606532617935,-0.382400848828586
far_flipped,Noise_f2.00,RMS,-0.346943137207948,-0.249002169657679,-0.364828338281417
far_flipped,Simp,METRO,-0.55719720849913,-0.408449719674318,-0.573812442834302
far_flipped,Simp,FMPD,-0.575227040975533,-0.410951585976628,-0.579005835502695
far_flipped,Simp,DAME,NaN,NaN,NaN
far_flipped,Simp,MSDM,NaN,NaN,NaN
far_flipped,Simp,MSDM2,-0.431050171813424,-0.419465776293823,-0.586525311371972
far_flipped,Simp,RMS,-0.579251251186115,-0.406180352103901,-0.573033231060418
far_flipped,Smooth,METRO,-0.145468586599173,-0.0844075624745943,-0.13254891691299
far_flipped,Smooth,FMPD,-0.0587136278878226,-0.0663939899833055,-0.100746228213639
far_flipped,Smooth,DAME,-0.132905681532449,-0.10432387312187,-0.164571917973929
far_flipped,Smooth,MSDM,-0.104704986444602,-0.105968722741836,-0.168552789732051
far_flipped,Smooth,MSDM2,-0.133295242158122,-0.102805532604021,-0.164500845059219
far_flipped,Smooth,RMS,-0.168373635289037,-0.116528518606051,-0.180102347754461
far_flipped,noSimp,METRO,-0.222713179420171,-0.266517508482583,-0.365615112868885
far_flipped,noSimp,FMPD,-0.110203662025712,-0.221509317445409,-0.325137468011393
far_flipped,noSimp,DAME,-0.276510500552346,-0.294920503448217,-0.419620280017807
far_flipped,noSimp,MSDM,-0.453734005377528,-0.288475504722199,-0.406233956360746
far_flipped,noSimp,MSDM2,-0.351200783107718,-0.289225272003703,-0.411192790964835
far_flipped,noSimp,RMS,-0.331086400018675,-0.279626952520333,-0.385950360821586
far_flipped,allTypes,METRO,-0.227021898362835,-0.248859052202565,-0.346066738602299
far_flipped,allTypes,FMPD,-0.162348761865271,-0.211688628034386,-0.310508558343516
far_flipped,allTypes,DAME,NaN,NaN,NaN
far_flipped,allTypes,MSDM,NaN,NaN,NaN
far_flipped,allTypes,MSDM2,-0.332895786379422,-0.267611869244918,-0.384736526875561
far_flipped,allTypes,RMS,-0.317069630560229,-0.289013810277175,-0.400635416065439
far_normal,Noise_f0.01,METRO,-0.827176524598662,-0.673279328613153,-0.86067749276782
far_normal,Noise_f0.01,FMPD,-0.788714691030063,-0.642731932175247,-0.83666861860864
far_normal,Noise_f0.01,DAME,-0.827688036832406,-0.675553849073258,-0.863850499245211
far_normal,Noise_f0.01,MSDM,-0.804182105603823,-0.667267680930455,-0.854543908352599
far_normal,Noise_f0.01,MSDM2,-0.76931512146172,-0.668375098174914,-0.855744811023086
far_normal,Noise_f0.01,RMS,-0.823976991989856,-0.655486736096957,-0.847952575455335
far_normal,Noise_f0.06,METRO,-0.69393993507485,-0.549528042668481,-0.735148031759427
far_normal,Noise_f0.06,FMPD,-0.718277720473665,-0.543238731218698,-0.732358685028016
far_normal,Noise_f0.06,DAME,-0.657045683371007,-0.501552587646077,-0.684302691299004
far_normal,Noise_f0.06,MSDM,-0.610338849691392,-0.526619810086911,-0.709445550738446
far_normal,Noise_f0.06,MSDM2,-0.655744447390519,-0.521813530111098,-0.704480192786433
far_normal,Noise_f0.06,RMS,-0.690623570142168,-0.549075747399387,-0.736234570181708
far_normal,Noise_f0.34,METRO,-0.483379643734593,-0.350640752762267,-0.496367829807195
far_normal,Noise_f0.34,FMPD,-0.500061414975113,-0.343772954924875,-0.491536488827383
far_normal,Noise_f0.34,DAME,-0.490288808228546,-0.359115191986644,-0.519041545295307
far_normal,Noise_f0.34,MSDM,-0.429353486637186,-0.351612485864856,-0.503996267020126
far_normal,Noise_f0.34,MSDM2,-0.46333016786703,-0.360260268201252,-0.511600469153138
far_normal,Noise_f0.34,RMS,-0.491587347218785,-0.352093572154162,-0.498255033258448
far_normal,Noise_f2.00,METRO,-0.341404890353388,-0.271317175179363,-0.379773584621114
far_normal,Noise_f2.00,FMPD,-0.34239793854249,-0.284190317195326,-0.401133519785548
far_normal,Noise_f2.00,DAME,-0.311126981797798,-0.238297161936561,-0.336519891999652
far_normal,Noise_f2.00,MSDM,-0.283226499215076,-0.263195238694513,-0.374977699521604
far_normal,Noise_f2.00,MSDM2,-0.301530310630705,-0.27844973665191,-0.395248294119415
far_normal,Noise_f2.00,RMS,-0.324881107624611,-0.25402897402166,-0.362218178006448
far_normal,Simp,METRO,-0.581646223430507,-0.378090898342406,-0.542244107064051
far_normal,Simp,FMPD,-0.597598950408528,-0.362303839732888,-0.519609611643909
far_normal,Simp,DAME,NaN,NaN,NaN
far_normal,Simp,MSDM,NaN,NaN,NaN
far_normal,Simp,MSDM2,-0.451192957080647,-0.373989983305509,-0.529304965499889
far_normal,Simp,RMS,-0.602708789642387,-0.361555605652042,-0.519751411444138
far_normal,Smooth,METRO,-0.287363263231434,-0.174512000539321,-0.264890834338839
far_normal,Smooth,FMPD,-0.142117935005104,-0.164159668798649,-0.250555945395562
far_normal,Smooth,DAME,-0.218287516123679,-0.154276365236278,-0.235240410637495
far_normal,Smooth,MSDM,-0.170777637734637,-0.158158559247774,-0.237881489684019
far_normal,Smooth,MSDM2,-0.218621357929326,-0.152524687601831,-0.234913808015902
far_normal,Smooth,RMS,-0.283046276060942,-0.177166373120691,-0.26670404421202
far_normal,noSimp,METRO,-0.333732030398004,-0.297928373964735,-0.411846331427687
far_normal,noSimp,FMPD,-0.0753755226854174,-0.197752708581944,-0.292660297573686
far_normal,noSimp,DAME,-0.264095304218744,-0.289969149595451,-0.414935203854564
far_normal,noSimp,MSDM,-0.523511572924283,-0.331445133272157,-0.465254649193933
far_normal,noSimp,MSDM2,-0.380518802307947,-0.311477101666832,-0.442064320338105
far_normal,noSimp,RMS,-0.449745078577273,-0.314191770719647,-0.433409362165574
far_normal,allTypes,METRO,-0.327578348422742,-0.274261371550516,-0.381992743638954
far_normal,allTypes,FMPD,-0.157831019625481,-0.188905025119478,-0.274826734392456
far_normal,allTypes,DAME,NaN,NaN,NaN
far_normal,allTypes,MSDM,NaN,NaN,NaN
far_normal,allTypes,MSDM2,-0.361657737832002,-0.277972946064545,-0.39635884889577
far_normal,allTypes,RMS,-0.423345410015957,-0.312009466758293,-0.434043625368555
allSettings,Noise_f0.01,METRO,-0.761146720919732,-0.602096015204286,-0.792483394016709
allSettings,Noise_f0.01,FMPD,-0.743197122586163,-0.588996313940121,-0.784236805529462
allSettings,Noise_f0.01,DAME,-0.760826014476858,-0.603017230186593,-0.795180325374293
allSettings,Noise_f0.01,MSDM,-0.738856190739091,-0.591891393355,-0.785635891461146
allSettings,Noise_f0.01,MSDM2,-0.703867819032794,-0.591903521622343,-0.78503208512416
allSettings,Noise_f0.01,RMS,-0.757838345902853,-0.584114123707636,-0.778027063994038
allSettings,Noise_f0.06,METRO,-0.756834090302424,-0.609146681958994,-0.799672791533465
allSettings,Noise_f0.06,FMPD,-0.778750937809876,-0.600170918700425,-0.792552201652299
allSettings,Noise_f0.06,DAME,-0.743029812374054,-0.591987324368722,-0.784881297273162
allSettings,Noise_f0.06,MSDM,-0.676253333055258,-0.601616845421568,-0.792802836267876
allSettings,Noise_f0.06,MSDM2,-0.727076159388786,-0.600828280724631,-0.791865089583169
allSettings,Noise_f0.06,RMS,-0.755947148212243,-0.603419554525673,-0.795337308366419
allSettings,Noise_f0.34,METRO,-0.62235027261253,-0.4816485069083,-0.651855772628439
allSettings,Noise_f0.34,FMPD,-0.63734973998229,-0.474720087097245,-0.647065775184626
allSettings,Noise_f0.34,DAME,-0.617262140432389,-0.470409341406777,-0.645371383165463
allSettings,Noise_f0.34,MSDM,-0.558391552123496,-0.476750233714917,-0.649682245995438
allSettings,Noise_f0.34,MSDM2,-0.594612967743231,-0.478822194875089,-0.649935193007999
allSettings,Noise_f0.34,RMS,-0.625322242825399,-0.484197636291329,-0.655159644522353
allSettings,Noise_f2.00,METRO,-0.526292979335078,-0.395878540723975,-0.548557008361136
allSettings,Noise_f2.00,FMPD,-0.52624662476131,-0.391786312342587,-0.545600066049124
allSettings,Noise_f2.00,DAME,-0.50826864714086,-0.369392147375659,-0.517286634463574
allSettings,Noise_f2.00,MSDM,-0.440312176086191,-0.387263162603485,-0.540906884509105
allSettings,Noise_f2.00,MSDM2,-0.467548940007917,-0.393101377034093,-0.547324868673923
allSettings,Noise_f2.00,RMS,-0.516446098413094,-0.378740802888511,-0.528672571260837
allSettings,Simp,METRO,-0.652645336978644,-0.463204940072547,-0.645240932254725
allSettings,Simp,FMPD,-0.67698047427706,-0.460049015508503,-0.64218016797737
allSettings,Simp,DAME,NaN,NaN,NaN
allSettings,Simp,MSDM,NaN,NaN,NaN
allSettings,Simp,MSDM2,-0.52361764326345,-0.470622553692525,-0.653115020418969
allSettings,Simp,RMS,-0.679678720837858,-0.461111261107072,-0.644448448014121
allSettings,Smooth,METRO,-0.264075840137808,-0.164708036459275,-0.246771517866619
allSettings,Smooth,FMPD,-0.155543910598797,-0.151575945164469,-0.228754789888776
allSettings,Smooth,DAME,-0.239563922419196,-0.1705895443013,-0.256884437978315
allSettings,Smooth,MSDM,-0.197684178601532,-0.17365596949753,-0.260016637146205
allSettings,Smooth,MSDM2,-0.237253830925005,-0.169435585816189,-0.25505197035918
allSettings,Smooth,RMS,-0.275737973828948,-0.185215732659669,-0.275498083061971
allSettings,noSimp,METRO,-0.179350755030077,-0.266384032098322,-0.368072290623915
allSettings,noSimp,FMPD,-0.267037162628276,-0.303909341230845,-0.43881190083699
allSettings,noSimp,DAME,-0.413389566173778,-0.378037016646097,-0.532878445595409
allSettings,noSimp,MSDM,-0.489780971712909,-0.343005020176081,-0.483040430193361
allSettings,noSimp,MSDM2,-0.460163421131798,-0.366244963633671,-0.517734961636183
allSettings,noSimp,RMS,-0.270752953115276,-0.275980972230341,-0.380279447064907
allSettings,allTypes,METRO,-0.186996421786042,-0.248968931008136,-0.347935028115524
allSettings,allTypes,FMPD,-0.270277332323976,-0.282495153763137,-0.407325076422262
allSettings,allTypes,DAME,NaN,NaN,NaN
allSettings,allTypes,MSDM,NaN,NaN,NaN
allSettings,allTypes,MSDM2,-0.440018308211396,-0.337514734936304,-0.480171150965493
allSettings,allTypes,RMS,-0.258588540378613,-0.290978696677175,-0.404963622194088
