Condition,Dst_type,Metric,Pearson,Kendall,Spearman
close_flipped,Noise_f0.01,METRO,-0.719777396348002,-0.568352516598586,-0.756959155703952
close_flipped,Noise_f0.01,FMPD,-0.716581939177965,-0.563939899833055,-0.759796870312485
close_flipped,Noise_f0.01,DAME,-0.719144987179862,-0.566076794657763,-0.757358152768235
close_flipped,Noise_f0.01,MSDM,-0.699524907488085,-0.556955579953014,-0.750449148637153
close_flipped,Noise_f0.01,MSDM2,-0.666734431770193,-0.558964941569282,-0.752070297000958
close_flipped,Noise_f0.01,RMS,-0.714727922844851,-0.542771285475793,-0.737431411069068
close_flipped,Noise_f0.06,METRO,-0.796305586542981,-0.654914287581081,-0.842245083981119
close_flipped,Noise_f0.06,FMPD,-0.817952368786757,-0.637494366126756,-0.827060213895028
close_flipped,Noise_f0.06,DAME,-0.78546468208707,-0.635641184829876,-0.82777450679828
close_flipped,Noise_f0.06,MSDM,-0.710677314373443,-0.645101509642392,-0.83390917417923
close_flipped,Noise_f0.06,MSDM2,-0.764799511709726,-0.640577327491714,-0.831924945146428
close_flipped,Noise_f0.06,RMS,-0.794199308471161,-0.645352210942008,-0.835994072849465
close_flipped,Noise_f0.34,METRO,-0.788316489974286,-0.649845487084373,-0.835786641707197
close_flipped,Noise_f0.34,FMPD,-0.801393078761214,-0.638297161936561,-0.826568472801525
close_flipped,Noise_f0.34,DAME,-0.777357387202182,-0.62686143572621,-0.817688734479789
close_flipped,Noise_f0.34,MSDM,-0.708705054527395,-0.643683821724395,-0.829890810048359
close_flipped,Noise_f0.34,MSDM2,-0.753415163015973,-0.650712231692778,-0.836283492114898
close_flipped,Noise_f0.34,RMS,-0.787030168393174,-0.653821275409543,-0.839496446993965
close_flipped,Noise_f2.00,METRO,-0.730118155374526,-0.56866552219479,-0.754569346456407
close_flipped,Noise_f2.00,FMPD,-0.730419108753437,-0.558864774624374,-0.747239410449711
close_flipped,Noise_f2.00,DAME,-0.716848451491635,-0.551969949916528,-0.744331917199733
close_flipped,Noise_f2.00,MSDM,-0.618858324838242,-0.564237835848934,-0.756528905073252
close_flipped,Noise_f2.00,MSDM2,-0.655798549363205,-0.569069858699781,-0.758719516452611
close_flipped,Noise_f2.00,RMS,-0.722853928082808,-0.548840194743793,-0.736499425862001
close_flipped,Simp,METRO,-0.723396404633029,-0.516108312153327,-0.713590740754698
close_flipped,Simp,FMPD,-0.773846148541734,-0.534724540901502,-0.734957370830228
close_flipped,Simp,DAME,NaN,NaN,NaN
close_flipped,Simp,MSDM,NaN,NaN,NaN
close_flipped,Simp,MSDM2,-0.600423699335781,-0.533021702838063,-0.734995403210978
close_flipped,Simp,RMS,-0.773898265720902,-0.538101319729262,-0.739701486441965
close_flipped,Smooth,METRO,-0.311187674789991,-0.198687554082136,-0.290827642743531
close_flipped,Smooth,FMPD,-0.212926871796642,-0.184123539232053,-0.279654998887093
close_flipped,Smooth,DAME,-0.298888994781456,-0.205626043405676,-0.30110448743383
close_flipped,Smooth,MSDM,-0.25629951894178,-0.205952445546224,-0.29467257058908
close_flipped,Smooth,MSDM2,-0.292852567317843,-0.198582625905298,-0.287572715762279
close_flipped,Smooth,RMS,-0.314529289228652,-0.220035225677329,-0.317746137136546
close_flipped,noSimp,METRO,-0.0550409081151214,-0.236402211970858,-0.322597668787444
close_flipped,noSimp,FMPD,-0.477999718285429,-0.429050066225774,-0.603784601695943
