basemesh,dst_type,setting,magnitude,JOD,METRO,FMPD,DAME,MSDM,MSDM2,RMS
BFA01,Noise_f0.01,close_flipped,ref,0,0,0,0,0,0,0
BFA01,Noise_f0.01,close_flipped,Noise_f0.01_a05.0000,-1.11900127065474,0.003649,0.000613591,0.005032638,0.127305,0.185975,0.5527795
BFA01,Noise_f0.01,close_flipped,Noise_f0.01_a08.3330,-0.435187113160299,0.006069,0.002154999,0.008396272,0.192008,0.283225,0.9182045
BFA01,Noise_f0.01,close_flipped,Noise_f0.01_a11.6665,-1.01359107476198,0.00848,0.004734827,0.011772424,0.259038,0.345234,1.280158
BFA01,Noise_f0.01,close_flipped,Noise_f0.01_a15.0000,-1.09902206094677,0.010879,0.008105815,0.015165661,0.318193,0.390656,1.637685
BFA01,Noise_f0.06,close_flipped,ref,0,0,0,0,0,0,0
BFA01,Noise_f0.06,close_flipped,Noise_f0.06_a00.2100,-1.40596036197713,0.000203,0.006194793,0.004682964,0.075143,0.0871735,0.023893
BFA01,Noise_f0.06,close_flipped,Noise_f0.06_a00.3500,-2.11220005553242,0.000339,0.017136957,0.007805141,0.095277,0.138526,0.039818
BFA01,Noise_f0.06,close_flipped,Noise_f0.06_a00.4900,-2.26685571539665,0.000474,0.029537989,0.010928391,0.115496,0.180193,0.055742
BFA01,Noise_f0.06,close_flipped,Noise_f0.06_a00.6300,-3.99958448342918,0.00061,0.04209928,0.014052442,0.135297,0.214475,0.0716625
BFA01,Noise_f0.34,close_flipped,ref,0,0,0,0,0,0,0
BFA01,Noise_f0.34,close_flipped,Noise_f0.34_a00.0675,-0.344676848599848,7.9e-05,0.024655366,0.008340819,0.090825,0.168689,0.0064775
BFA01,Noise_f0.34,close_flipped,Noise_f0.34_a00.1125,-1.18721281216033,0.000131,0.055170262,0.013901511,0.111381,0.253569,0.01079
BFA01,Noise_f0.34,close_flipped,Noise_f0.34_a00.1575,-2.0911235434587,0.000184,0.084701671,0.019463996,0.133128,0.32087,0.0150995
BFA01,Noise_f0.34,close_flipped,Noise_f0.34_a00.2025,-3.41268694158397,0.000236,0.113081519,0.025028071,0.153761,0.375574,0.0194045
BFA01,Noise_f2.00,close_flipped,ref,0,0,0,0,0,0,0
BFA01,Noise_f2.00,close_flipped,Noise_f2.00_a00.0740,-1.42095212016276,8.3e-05,0.057248985,0.013786503,0.12667,0.296059,0.006378
BFA01,Noise_f2.00,close_flipped,Noise_f2.00_a00.1233,-2.31233836480696,0.000138,0.103663665,0.022984917,0.152414,0.411475,0.010613
BFA01,Noise_f2.00,close_flipped,Noise_f2.00_a00.1727,-3.20372462238441,0.000194,0.147936775,0.032197284,0.177928,0.490051,0.014833
BFA01,Noise_f2.00,close_flipped,Noise_f2.00_a00.2220,-4.62467685300217,0.000249,0.190360261,0.041427746,0.202364,0.547636,0.019038
BFA01,Simp,close_flipped,ref,0,0,0,-1,-1,0,0
BFA01,Simp,close_flipped,Simp_p25.00,-0.0114980472078852,0.000468,0.04938171,-1,-1,0.269803,0.0072585
BFA01,Simp,close_flipped,Simp_p12.50,-0.724397850486984,0.000575,0.131377481,-1,-1,0.385022,0.017175
BFA01,Simp,close_flipped,Simp_p06.25,-2.37244613847279,0.001051,0.269494226,-1,-1,0.461291,0.036224
BFA01,Simp,close_flipped,Simp_p03.12,-2.43545659233851,0.001455,0.464473216,-1,-1,0.517531,0.072165
BFA01,Smooth,close_flipped,ref,0,0,0,0,0,0,0
BFA01,Smooth,close_flipped,Smooth_i02,-1.08688471990101,0.001801,0.004138267,0.002689074,0.107814,0.0642316,0.1130695
BFA01,Smooth,close_flipped,Smooth_i06,-1.15777191396643,0.004316,0.004917584,0.005276352,0.137291,0.112982,0.3306335
BFA01,Smooth,close_flipped,Smooth_i12,-0.978564907528844,0.007573,0.005340597,0.007760515,0.161526,0.157971,0.640777
BFA01,Smooth,close_flipped,Smooth_i20,-1.06816839872926,0.011359,0.005571505,0.009928079,0.189836,0.200503,1.031625
BFA02,Noise_f0.01,close_flipped,ref,0,0,0,0,0,0,0
BFA02,Noise_f0.01,close_flipped,Noise_f0.01_a05.0000,-0.457091236049658,0.003781,0.000804982,0.005432681,0.131432,0.208652,0.5422375
BFA02,Noise_f0.01,close_flipped,Noise_f0.01_a08.3330,-1.05960286433367,0.006288,0.00246346,0.009067868,0.201313,0.299273,0.9000635
BFA02,Noise_f0.01,close_flipped,Noise_f0.01_a11.6665,-2.46742336924181,0.008785,0.005229321,0.012720682,0.270582,0.356532,1.254149
BFA02,Noise_f0.01,close_flipped,Noise_f0.01_a15.0000,-3.5845197486645,0.011271,0.008874013,0.016395988,0.326949,0.397163,1.6036885
BFA02,Noise_f0.06,close_flipped,ref,0,0,0,0,0,0,0
BFA02,Noise_f0.06,close_flipped,Noise_f0.06_a00.2100,-0.922934560764666,0.000211,0.00662977,0.005015438,0.078542,0.0877792,0.023717
BFA02,Noise_f0.06,close_flipped,Noise_f0.06_a00.3500,-2.79181962811731,0.000351,0.018151403,0.008358952,0.096601,0.138997,0.0395245
BFA02,Noise_f0.06,close_flipped,Noise_f0.06_a00.4900,-3.99938943716271,0.000492,0.031077692,0.01170329,0.116533,0.180787,0.0553285
BFA02,Noise_f0.06,close_flipped,Noise_f0.06_a00.6300,-6.0301728014665,0.000633,0.043752123,0.015048151,0.136014,0.215497,0.071132
BFA02,Noise_f0.34,close_flipped,ref,0,0,0,0,0,0,0
BFA02,Noise_f0.34,close_flipped,Noise_f0.34_a00.0675,-2.33467113411253,7.5e-05,0.022688467,0.00870164,0.089866,0.166349,0.006462
BFA02,Noise_f0.34,close_flipped,Noise_f0.34_a00.1125,-2.94125576236435,0.000125,0.052250916,0.014503082,0.113581,0.252176,0.0107635
BFA02,Noise_f0.34,close_flipped,Noise_f0.34_a00.1575,-5.11593777469885,0.000175,0.081306361,0.02030669,0.135829,0.320358,0.015063
BFA02,Noise_f0.34,close_flipped,Noise_f0.34_a00.2025,-5.88268262104167,0.000224,0.109378652,0.026112067,0.157491,0.375951,0.0193585
