Distortion,cond1,cond2,significance
Noise_f0.01_a05.0000,far_flipped,far_normal,0
Noise_f0.01_a08.3330,far_flipped,far_normal,1
Noise_f0.01_a11.6665,far_flipped,far_normal,1
Noise_f0.01_a15.0000,far_flipped,far_normal,1
Noise_f0.06_a00.2100,far_flipped,far_normal,0
Noise_f0.06_a00.3500,far_flipped,far_normal,0
Noise_f0.06_a00.4900,far_flipped,far_normal,0
Noise_f0.06_a00.6300,far_flipped,far_normal,0
Noise_f0.34_a00.0675,far_flipped,far_normal,0
Noise_f0.34_a00.1125,far_flipped,far_normal,0
Noise_f0.34_a00.1575,far_flipped,far_normal,0
Noise_f0.34_a00.2025,far_flipped,far_normal,0
Noise_f2.00_a00.0740,far_flipped,far_normal,0
Noise_f2.00_a00.1233,far_flipped,far_normal,0
Noise_f2.00_a00.1727,far_flipped,far_normal,0
Noise_f2.00_a00.2220,far_flipped,far_normal,0
Simp_p25.00,far_normal,far_flipped,0
Simp_p12.50,far_normal,far_flipped,0
Simp_p06.25,far_normal,far_flipped,0
Simp_p03.12,far_normal,far_flipped,0
Smooth_i02,far_flipped,far_normal,0
Smooth_i06,far_flipped,far_normal,0
Smooth_i12,far_flipped,far_normal,0
Smooth_i20,far_flipped,far_normal,0
